entity,new applications,acceptances,rejections,pending
Afghanistan,72515,66715,10263,373027
Albania,7306,478,7185,11692
Algeria,7662,360,3532,11629
Andorra,0,0,0,14
Angola,6871,341,1295,25775
Anguilla,0,0,0,5
Antigua and Barbuda,28,5,10,61
Argentina,1823,25,220,5872
Armenia,6512,353,2771,20144
Aruba,0,0,0,0
Australia,51,5,0,74
Austria,0,0,0,32
Azerbaijan,3537,365,1564,7432
Bahamas,625,122,70,2567
Bahrain,35,27,5,196
Bangladesh,47012,2507,16438,96090
Barbados,171,20,29,444
Belarus,3626,1807,454,12584
Belgium,52,10,18,178
Belize,491,23,12,1390
Benin,1752,75,600,3602
Bermuda,10,0,0,94
Bhutan,44,10,5,525
Bolivia (Plurinational State of),2710,65,188,7084
"Bonaire, Saint Eustatius and Saba",0,0,0,0
Bosnia and Herzegovina,1140,20,685,1077
Botswana,424,48,343,1406
Bouvet Island,0,0,0,0
Brazil,19384,399,2825,85660
British Virgin Islands,0,0,0,0
Brunei Darussalam,33,0,12,57
Bulgaria,90,20,45,413
Burkina Faso,35676,7282,437,118885
Burundi,9822,5442,624,62264
Cabo Verde,75,0,15,289
Cambodia,516,90,165,1228
Cameroon,11450,1901,3535,47225
Canada,92,16,20,349
Cayman Islands,0,0,0,0
Central African Rep.,7646,2092,217,19711
Chad,10877,3564,1212,45846
Chile,5940,258,324,24080
China,51413,4144,6527,176239
"China, Hong Kong SAR",93,46,32,727
"China, Macao SAR",5,0,0,13
Colombia,119453,5160,16327,392719
Comoros,471,53,282,843
Congo,2570,350,1451,11708
Cook Islands,0,0,0,0
Costa Rica,784,31,65,2381
Cote d'Ivoire,11378,1917,5713,26444
Croatia,22,0,5,112
Cuba,36981,2481,2394,334153
Curacao,0,0,0,0
Cyprus,0,0,0,38
Czechia,45,21,10,167
Dem. People's Rep. of Korea,5,10,10,105
Dem. Rep. of the Congo,28853,9599,7556,159860
Denmark,11,5,0,27
Djibouti,778,178,301,1807
Dominica,281,5,21,571
Dominican Rep.,5755,83,340,15545
Ecuador,40845,451,1764,103370
Egypt,19325,1018,9154,52258
El Salvador,20154,2309,3121,138182
Equatorial Guinea,250,23,16,667
Eritrea,37433,11447,1574,124045
Estonia,23,14,5,57
Eswatini,161,19,20,400
Ethiopia,21721,4627,2677,147250
Faeroe Islands,0,0,0,0
Fiji,714,78,682,3011
Finland,5,0,5,43
France,163,0,24,577
French Guiana,104,0,0,512
French Polynesia,0,0,0,0
